2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration org.hibernate.type.OffsetTimeType -> basicType@4(java.time.OffsetTime,3007)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration OffsetTime -> basicType@4(java.time.OffsetTime,3007)
2025-06-26 09:16:55 [main] DEBUG BasicTypeRegistry - Adding type registration java.time.OffsetTime -> basicType@4(java.time.OffsetTime,3007)
2025-06-26 09:16:55 [main] DEBUG TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@61526469] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@274872f8]
2025-06-26 09:16:55 [main] DEBUG Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2025-06-26 09:16:55 [main] DEBUG EntityBinder - Binding entity from annotated class: ro.mpp2025.Player
2025-06-26 09:16:55 [main] DEBUG EntityBinder - Import with entity name Player
2025-06-26 09:16:55 [main] DEBUG EntityBinder - Bind entity ro.mpp2025.Player on table Players
2025-06-26 09:16:55 [main] DEBUG AnnotatedColumn - Binding column: AnnotatedDiscriminatorColumn(column='DTYPE')
2025-06-26 09:16:55 [main] DEBUG AnnotatedColumn - Binding column: AnnotatedColumn()
2025-06-26 09:16:55 [main] DEBUG ClassLoaderAccessImpl - Not known whether passed class name [ro.mpp2025.Player] is safe
2025-06-26 09:16:55 [main] DEBUG ClassLoaderAccessImpl - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : ro.mpp2025.Player
2025-06-26 09:16:55 [main] DEBUG PropertyBinder - MetadataSourceProcessor property id with lazy=false
2025-06-26 09:16:55 [main] DEBUG AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ro.mpp2025.Player:id]
2025-06-26 09:16:55 [main] DEBUG BasicValueBinder - building BasicValue for id
2025-06-26 09:16:55 [main] DEBUG BasicValue - Skipping column re-registration: Players.id
2025-06-26 09:16:55 [main] DEBUG PropertyBinder - Building property id
2025-06-26 09:16:55 [main] DEBUG BinderHelper - #makeIdGenerator(BasicValue([Column(id)]), id, identity, , ...)
2025-06-26 09:16:55 [main] DEBUG AnnotatedColumn - Binding column: AnnotatedColumn(column='nickname')
2025-06-26 09:16:55 [main] DEBUG PropertyBinder - MetadataSourceProcessor property nickname with lazy=false
2025-06-26 09:16:55 [main] DEBUG AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ro.mpp2025.Player:nickname]
2025-06-26 09:16:55 [main] DEBUG BasicValueBinder - building BasicValue for nickname
